n,tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
0.001,1,329.0998,216.6951,164.5226,329.2851,216.8316,164.5574
0.001,2,167.3412,10.62827,170.2405,167.5362,0.009904523,167.5391
0.001,3,16.14021,175.2331,162.4134,0.01504122,167.5435,167.5318
0.001,4,272.368,260.0503,12.71943,266.3749,266.3633,0.01195041
0.001,5,12.6698,12.7748,12.716,0.00796731,0.00796731,0.0079671
0.1,1,273.2803,194.0038,153.3247,273.4009,194.0611,153.3621
0.1,2,150.0523,10.96341,153.957,151.2172,0.0101938,151.221
0.1,3,15.34482,158.035,146.2045,0.01436143,151.2245,151.2137
0.1,4,230.0161,218.4923,12.71933,224.3353,224.3245,0.01195037
0.1,5,12.6697,12.7746,12.7159,0.00796727,0.00796727,0.00796708
0.15,1,249.219,183.2275,148.2009,249.3246,183.2395,148.2437
0.15,2,142.5657,11.13308,146.9079,144.1266,0.01034259,144.1308
0.15,3,15.00669,150.588,139.1881,0.01407263,144.1339,144.1235
0.15,4,211.3683,200.2624,12.71928,205.8588,205.8483,0.01195034
0.15,5,12.6696,12.7746,12.7159,0.00796725,0.00796725,0.00796707
0.2,1,228.0245,173.2622,143.3928,228.129,173.234,143.4427
0.2,2,135.763,11.29947,140.5039,137.6709,0.01048952,137.6755
0.2,3,14.70312,143.8214,132.8141,0.01381347,137.6783,137.6682
0.2,4,194.7708,184.0637,12.71923,189.4317,189.4216,0.01195032
0.2,5,12.6695,12.7745,12.7158,0.00796722,0.00796722,0.00796707
0.25,1,209.4555,164.1553,138.8731,209.5703,164.0934,138.9319
0.25,2,129.5544,11.46112,134.6606,131.7686,0.01063301,131.7736
0.25,3,14.42933,137.646,126.9984,0.01357984,131.776,131.7662
0.25,4,180.1011,169.765,12.71918,174.9267,174.917,0.0119503
0.25,5,12.6694,12.7744,12.7158,0.0079672,0.0079672,0.00796706
0.3,1,193.2013,155.8763,134.6179,193.3347,155.7872,134.6865
0.3,2,123.8653,11.61722,129.3076,126.3515,0.01077209,126.3567
0.3,3,14.18138,131.9875,121.6709,0.01336836,126.3589,126.3494
0.3,4,167.1614,157.166,12.71913,162.1432,162.1337,0.01195028
0.3,5,12.6694,12.7744,12.7158,0.00796718,0.00796718,0.00796705
0.35,1,178.9487,148.3606,130.6053,179.1063,148.2502,130.6848
0.35,2,118.6332,11.7673,124.3856,121.3621,0.01090622,121.3676
0.35,3,13.95599,126.7836,116.7727,0.01317619,121.3695,121.3603
0.35,4,155.7373,146.0527,12.71908,150.8653,150.8562,0.01195026
0.35,5,12.6693,12.7743,12.7157,0.00796716,0.00796716,0.00796704
0.4,1,166.4105,141.5319,126.8159,166.5959,141.4053,126.9069
0.4,2,113.8051,11.91123,119.8449,116.7517,0.01103509,116.7575
0.4,3,13.75038,121.9818,112.2541,0.01300094,116.7591,116.7501
0.4,4,145.6253,136.2232,12.71903,140.8891,140.8802,0.01195023
0.4,5,12.6692,12.7742,12.7157,0.00796714,0.00796714,0.00796703
0.45,1,155.3358,135.3143,123.2323,155.551,135.1756,123.3353
0.45,2,109.336,12.049,115.6429,112.4787,0.01115862,112.4847
0.45,3,13.56221,117.5371,108.0728,0.01284059,112.4861,112.4773
0.45,4,136.643,127.4977,12.71898,132.0323,132.0236,0.01195021
0.45,5,12.6691,12.7742,12.7157,0.00796711,0.00796711,0.00796702
0.5,1,145.5105,129.6372,119.8385,145.7561,129.4899,119.9539
0.5,2,105.1871,12.18075,111.7431,108.5074,0.01127685,108.5136
0.5,3,13.38949,113.4111,104.1925,0.01269342,108.5148,108.5062
0.5,4,128.6324,119.7208,12.71893,124.1372,124.1288,0.01195019
0.5,5,12.6691,12.7741,12.7156,0.00796709,0.00796709,0.00796701
0.55,1,136.7538,124.4372,116.6204,137.03,124.2841,116.7484
0.55,2,101.3254,12.30667,108.1142,104.8069,0.01138987,104.8133
0.55,3,13.23051,109.5708,100.5819,0.01255795,104.8142,104.8059
0.55,4,121.4584,112.7599,12.71888,117.0697,117.0614,0.01195017
0.55,5,12.669,12.774,12.7156,0.00796707,0.00796707,0.007967
0.6,1,128.9143,119.6587,113.565,129.2206,119.5022,113.7057
0.6,2,97.72185,12.427,104.7289,101.3504,0.01149786,101.357
0.6,3,13.0838,105.9874,97.21394,0.01243292,101.3578,101.3496
0.6,4,115.0068,106.5031,12.71883,110.7159,110.7079,0.01195015
0.6,5,12.6689,12.774,12.7156,0.00796705,0.00796705,0.00796699
0.65,1,121.8651,115.2532,110.6606,122.2007,115.0951,110.814
0.65,2,94.3515,12.54202,101.5637,98.11457,0.01160101,98.12138
0.65,3,12.94809,102.6361,94.06513,0.01231722,98.12197,98.11399
0.65,4,109.1811,100.8558,12.71878,104.9802,104.9723,0.01195012
0.65,5,12.6688,12.7739,12.7155,0.00796702,0.00796703,0.00796698
0.7,1,115.4998,111.1788,107.8965,115.8637,111.0207,108.0627
0.7,2,91.1924,12.652,98.5978,95.079,0.0116995,95.0859
0.7,3,12.8223,99.4949,91.1148,0.0122099,95.0864,95.0785
0.7,4,103.8996,95.73843,12.71873,99.78165,99.77389,0.0119501
0.7,5,12.6688,12.7738,12.7155,0.007967,0.007967,0.00796697
0.75,1,109.7289,107.3992,105.2631,110.1199,107.2423,105.4419
0.75,2,88.2252,12.7572,95.813,92.2255,0.0117937,92.2326
0.75,3,12.7054,96.5448,88.3449,0.0121101,92.2329,92.2253
0.75,4,99.0936,91.0836,12.7187,95.052,95.0444,0.0119501
0.75,5,12.6687,12.7738,12.7155,0.00796698,0.00796698,0.00796696
0.8,1,104.4771,103.883,102.7514,104.894,103.7283,102.9428
0.8,2,85.4331,12.8579,93.1933,89.5383,0.0118837,89.5456
0.8,3,12.5965,93.7688,85.7394,0.0120172,89.5457,89.5382
0.8,4,94.7043,86.8342,12.7186,90.7333,90.7258,0.0119501
0.8,5,12.6686,12.7737,12.7154,0.00796696,0.00796696,0.00796695
0.85,1,99.68045,100.603,100.3534,100.1221,100.4513,100.5573
0.85,2,82.8008,12.9543,90.7246,87.0033,0.0119697,87.0107
0.85,3,12.495,91.1519,83.2843,0.0119304,87.0107,87.0033
0.85,4,90.6823,82.9418,12.7186,86.7764,86.7691,0.01195
0.85,5,12.6686,12.7736,12.7154,0.00796694,0.00796694,0.00796694
0.9,1,95.2848,97.5355,98.0618,95.75,97.3875,98.2779
0.9,2,80.3152,13.0467,88.3941,84.6078,0.0120519,84.6154
0.9,3,12.4002,88.6809,80.9668,0.0118493,84.6152,84.608
0.9,4,86.9849,79.365,12.7185,83.1394,83.1321,0.01195
0.9,5,12.6685,12.7736,12.7154,0.00796691,0.00796691,0.00796693
0.95,1,91.2437,94.6598,95.8696,91.7312,94.516,96.0979
0.95,2,77.9641,13.1354,86.1907,82.3407,0.0121307,82.3484
0.95,3,12.3115,86.3439,78.7759,0.0117732,82.3481,82.341
0.95,4,83.5756,76.0682,12.7185,79.7861,79.7789,0.01195
0.95,5,12.6684,12.7735,12.7153,0.00796689,0.00796689,0.00796692
0.999,1,87.5891,92.0104,93.8119,88.0974,91.8712,94.0518
0.999,2,75.7804,13.2189,84.145,80.2337,0.0122046,80.2415
0.999,3,12.23,84.1734,76.742,0.0117032,80.2412,80.2341
0.999,4,80.484,73.0796,12.7184,76.7453,76.7382,0.01195
0.999,5,12.6683,12.7734,12.7153,0.00796687,0.00796687,0.00796691
