n,tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
0.1,1,263.1644,191.867,105.0866,263.2812,191.9728,105.0978
0.1,2,110.1061,0.01072383,110.1066,110.1222,0.01071586,110.1228
0.1,3,0.01470527,110.1114,110.1013,0.01469627,110.1275,110.1174
0.1,4,159.7818,159.7741,0.01195889,159.8265,159.8188,0.01195025
0.1,5,0.0079759,0.0079759,0.0079757,0.0079673,0.0079673,0.0079671
0.25,1,204.7306,155.2233,98.56989,204.7956,155.2839,98.58022
0.25,2,99.6313,0.0107319,99.633,99.6449,0.0107235,99.6466
0.25,3,0.0141514,99.6368,99.6275,0.0141427,99.6504,99.6411
0.25,4,128.7616,128.7544,0.01195883,128.789,128.7819,0.01195018
0.25,5,0.0079759,0.0079759,0.0079757,0.0079672,0.0079672,0.0079671
0.5,1,144.7693,117.5666,89.1779,144.7986,117.5948,89.18698
0.5,2,85.9374,0.0109187,85.9406,85.9479,0.0109099,85.9511
0.5,3,0.0134421,85.9432,85.9348,0.0134337,85.9537,85.9453
0.5,4,96.9365,96.9299,0.0119587,96.9511,96.9445,0.0119501
0.5,5,0.0079757,0.0079757,0.0079757,0.0079671,0.0079671,0.007967
0.75,1,110.4974,95.69177,81.29256,110.5136,95.70758,81.30052
0.75,2,75.5141,0.0111871,75.5184,75.5224,0.011178,75.5267
0.75,3,0.0129155,75.5201,75.5123,0.0129073,75.5285,75.5207
0.75,4,77.5911,77.5849,0.0119586,77.6001,77.5939,0.01195
0.75,5,0.0079756,0.0079756,0.0079756,0.007967,0.007967,0.007967
0.99,1,89.603,81.9468,74.8548,89.6135,81.9572,74.8618
0.99,2,67.6184,0.0114572,67.6236,67.6253,0.0114479,67.6304
0.99,3,0.0125253,67.6247,67.6174,0.0125174,67.6315,67.6242
0.99,4,65.071,65.065,0.0119585,65.0772,65.0712,0.0119499
0.99,5,0.0079755,0.0079755,0.0079756,0.0079669,0.0079669,0.0079669
