n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.001,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,329.0998,216.6951,164.5226,434.7191,434.7764,434.7341
0.001,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,167.341188,10.62826797,170.2404791,376.1000113,2.813856753,376.8447253
0.001,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,16.14021211,175.2330878,162.4134491,2.486076943,376.8444801,376.1854214
0.001,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,272.3680254,260.0503339,12.71942817,376.8446445,376.1852478,2.486162386
0.001,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66981757,12.77478872,12.71596003,2.492918977,2.813777617,2.493685807
0.1,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,273.2803,194.0038,153.3247,366.342,370.5943,368.1788
0.1,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,150.0522984,10.96340988,153.9569525,316.4774491,2.813798972,317.7073993
0.1,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,15.34482063,158.0350146,146.2045183,2.481708137,320.5180664,319.4350512
0.1,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,230.016053,218.4923127,12.71932867,320.5286196,319.4168024,2.490520255
0.1,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66966638,12.77464752,12.7158937,2.492850268,2.813738487,2.49368507
0.15,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,249.219,183.2275,148.2009,336.026,341.4384,338.7122
0.15,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,142.5657391,11.13307755,146.9078502,290.2876123,2.813772713,291.6956948
0.15,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,15.00669465,150.5880443,139.1881052,2.479831833,295.1317434,293.8918325
0.15,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,211.3682754,200.262374,12.71927844,295.1438949,293.8641654,2.492430586
0.15,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66959041,12.7745768,12.7158602,2.492820192,2.813720876,2.493683743
0.2,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,228.0245,173.2622,143.3928,309.0082,315.1318,312.3805
0.2,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,135.7629589,11.2994657,140.5039235,267.007384,2.813748361,268.5603034
0.2,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,14.70311596,143.8214101,132.8141384,2.478327123,272.3069261,270.9391646
0.2,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,194.7708328,184.0636657,12.71922819,272.3188897,270.9020992,2.493985037
